gFx,gFy,gFz
-0.0233,0.6952,0.7136
-0.024,0.6983,0.7151
-0.026,0.6971,0.7146
-0.0252,0.6966,0.7121
-0.025,0.6949,0.7119
-0.025,0.69,0.7112
-0.0252,0.6913,0.7112
-0.0299,0.6913,0.7114
-0.025,0.6939,0.7146
-0.0279,0.6908,0.7185
-0.0291,0.6913,0.719
-0.0291,0.6913,0.7212
-0.0267,0.6874,0.7239
-0.0287,0.6883,0.7268
-0.0255,0.6891,0.7273
-0.0294,0.6861,0.7285
-0.0296,0.6864,0.7261
-0.0311,0.6859,0.7268
-0.0309,0.6891,0.7278
-0.0279,0.69,0.7253
-0.0269,0.6861,0.7251
-0.0272,0.69,0.7217
-0.0296,0.693,0.7219
-0.0277,0.691,0.7195
-0.0279,0.6922,0.7178
-0.0252,0.6944,0.718
-0.024,0.6969,0.72
-0.0248,0.6979,0.7178
-0.0218,0.6939,0.7192
-0.0235,0.7008,0.7192
-0.0248,0.6991,0.7212
-0.0238,0.6991,0.7209
-0.0233,0.7008,0.7207
-0.0213,0.6991,0.7229
-0.025,0.6969,0.7222
-0.0228,0.7023,0.7243
-0.0248,0.7013,0.7243
-0.0269,0.7035,0.7248
-0.0282,0.7015,0.7256
-0.0277,0.6998,0.7273
-0.0262,0.6988,0.7283
-0.0262,0.6964,0.7287
-0.0255,0.6993,0.7292
-0.0269,0.6991,0.73
-0.0272,0.6979,0.7302
-0.0255,0.6944,0.7307
-0.0291,0.6932,0.7319
-0.0257,0.6959,0.7312
-0.0243,0.6939,0.7331
-0.0248,0.6898,0.7324
-0.026,0.6913,0.7324
-0.0274,0.6878,0.7314
-0.024,0.6874,0.7329
-0.0213,0.6876,0.7319
-0.0218,0.6852,0.7317
-0.023,0.6913,0.7322
-0.0213,0.6908,0.7339
-0.023,0.6856,0.7361
-0.0189,0.6861,0.7353
-0.0211,0.6888,0.7358
-0.0201,0.6861,0.7331
-0.0216,0.6834,0.7351
-0.0189,0.6815,0.7353
-0.0186,0.6844,0.7339
-0.0182,0.6808,0.7329
-0.0182,0.6827,0.7336
-0.0206,0.6869,0.7334
-0.0184,0.6852,0.7331
-0.0182,0.6866,0.7329
-0.0213,0.6856,0.7336
-0.0218,0.6859,0.7329
-0.0228,0.6852,0.7329
