gFx,gFy,gFz
-0.0426,0.938,0.3533
-0.0399,0.939,0.3535
-0.0406,0.9414,0.3525
-0.0394,0.9407,0.3543
-0.0428,0.9409,0.3543
-0.0448,0.9368,0.3479
-0.0453,0.9385,0.3484
-0.0443,0.9373,0.3499
-0.0431,0.9368,0.3481
-0.0418,0.9382,0.3506
-0.0438,0.9353,0.3501
-0.0416,0.937,0.3525
-0.0453,0.9351,0.3513
-0.045,0.936,0.3479
-0.0458,0.937,0.3481
-0.0414,0.9356,0.3467
-0.0431,0.936,0.3462
-0.0455,0.9375,0.345
-0.0443,0.9365,0.345
-0.0445,0.9385,0.3437
-0.0418,0.9373,0.3462
-0.0414,0.9377,0.3437
-0.0418,0.9368,0.3442
-0.0436,0.9368,0.3462
-0.045,0.9365,0.3484
-0.0465,0.937,0.3467
-0.0443,0.9356,0.3467
-0.0448,0.9373,0.3455
-0.0416,0.9356,0.3452
-0.0394,0.9373,0.3452
-0.0418,0.9368,0.345
-0.0421,0.938,0.346
-0.0387,0.9336,0.3464
-0.0414,0.9334,0.3469
-0.0372,0.9363,0.3457
-0.0387,0.9353,0.3508
-0.0372,0.9363,0.3484
-0.0365,0.936,0.3477
-0.036,0.9348,0.3464
-0.0389,0.9358,0.3464
-0.0372,0.9343,0.3477
-0.0362,0.9331,0.3484
-0.036,0.9356,0.3494
-0.0374,0.9341,0.3511
-0.0348,0.9331,0.3496
-0.0382,0.9343,0.3508
-0.0372,0.9326,0.3496
-0.0362,0.938,0.3506
-0.0387,0.9331,0.3533
-0.0401,0.9312,0.3538
-0.0423,0.9316,0.3535
-0.0426,0.9319,0.3528
-0.0431,0.9331,0.3511
-0.0455,0.9338,0.3521
-0.0409,0.9353,0.3533
-0.0438,0.9365,0.3545
-0.0431,0.9368,0.3547
-0.045,0.9377,0.3525
-0.047,0.9387,0.353
-0.0479,0.9404,0.3547
-0.0431,0.9412,0.3528
-0.0489,0.9402,0.3496
-0.0477,0.9421,0.3503
-0.0443,0.9458,0.3494
-0.0479,0.9436,0.3494
-0.0455,0.9456,0.3477
-0.0475,0.9473,0.3489
-0.0458,0.9475,0.3464
-0.0445,0.947,0.3467
-0.0472,0.9478,0.3447
-0.0472,0.9475,0.3413
-0.046,0.9478,0.341
-0.0462,0.9414,0.3447
-0.0494,0.9451,0.342
-0.0453,0.9429,0.3435
-0.0445,0.9404,0.3423
-0.0467,0.9385,0.3432
-0.0465,0.9407,0.3437
-0.0455,0.9392,0.346
-0.0467,0.9346,0.3464
-0.0448,0.9358,0.3467
-0.0479,0.9331,0.3457
-0.0477,0.9351,0.3472
-0.0484,0.9341,0.3479
-0.0516,0.9324,0.3491
-0.0526,0.9336,0.3501
-0.0506,0.9343,0.3499
-0.0499,0.9358,0.3503
-0.0477,0.9348,0.3508
-0.0489,0.9395,0.3506
-0.0472,0.9377,0.3489
-0.0489,0.9382,0.3506
-0.0477,0.938,0.344
-0.0482,0.9392,0.346
-0.0443,0.9426,0.3432
-0.0487,0.9397,0.3425
-0.0462,0.9439,0.341
-0.0472,0.9436,0.341
-0.0438,0.9426,0.3408
-0.0445,0.9465,0.341
-0.0445,0.9456,0.3393
-0.0411,0.9453,0.3362
-0.0421,0.9456,0.3391
-0.0404,0.9473,0.3362
-0.0372,0.9451,0.3357
-0.0396,0.9475,0.3354
-0.0404,0.948,0.3352
-0.0382,0.9502,0.3344
-0.0377,0.9492,0.3325
-0.0411,0.9487,0.3335
-0.0409,0.9468,0.3344
-0.036,0.9451,0.333
-0.034,0.9458,0.3366
-0.0326,0.9465,0.3344
-0.0294,0.9451,0.3369
-0.0291,0.9446,0.3381
-0.0348,0.9465,0.3342
-0.0365,0.9473,0.3322
-0.037,0.9434,0.3315
-0.0362,0.9439,0.3281
-0.0367,0.9395,0.3283
-0.0396,0.9395,0.3266
-0.0401,0.9356,0.3281
-0.0382,0.9385,0.3298
-0.0399,0.9387,0.3293
-0.0404,0.9373,0.3332
-0.0411,0.9395,0.3347
-0.0399,0.9402,0.3366
-0.0362,0.9409,0.3376
-0.0382,0.9397,0.3384
-0.0374,0.9404,0.3369
-0.0345,0.9399,0.3403
-0.0362,0.9434,0.3386
-0.0331,0.9434,0.3384
-0.0343,0.9402,0.3366
-0.037,0.9431,0.3379
-0.036,0.9426,0.3347
-0.0374,0.9426,0.3335
-0.037,0.9434,0.333
-0.0377,0.9468,0.3359
-0.0362,0.9439,0.3354
-0.0367,0.9448,0.3371
-0.0367,0.9421,0.3369
-0.0362,0.9443,0.3386
-0.0389,0.9461,0.3445
-0.0389,0.9461,0.3445
-0.0438,0.9404,0.3457
-0.0418,0.9385,0.3445
-0.0404,0.9407,0.3513
-0.0423,0.9421,0.3521
-0.0423,0.9448,0.354
-0.044,0.9426,0.3545
-0.0433,0.9426,0.3543
-0.0423,0.9441,0.3533
-0.0404,0.9429,0.354
-0.0401,0.9446,0.353
-0.0421,0.9407,0.3555
-0.0406,0.9412,0.3535
-0.0406,0.9407,0.3518
-0.0431,0.9409,0.3503
-0.0423,0.9392,0.3508
-0.0443,0.9412,0.3503
-0.0436,0.9414,0.3481
-0.0401,0.9385,0.3469
-0.0428,0.9453,0.3445
