gFx,gFy,gFz
-0.2209,1.4493,-0.0354
-0.2114,1.4391,-0.0266
-0.2016,1.4315,-0.0164
-0.1943,1.4224,-0.0076
-0.1904,1.4117,0.0076
-0.1838,1.4009,0.0225
-0.1838,1.3902,0.0391
-0.1762,1.3794,0.0559
-0.1728,1.3699,0.0721
-0.1689,1.3543,0.0906
-0.162,1.3443,0.1104
-0.1545,1.3233,0.1302
-0.1449,1.3076,0.1498
-0.1344,1.291,0.1659
-0.129,1.2746,0.182
-0.1173,1.2524,0.1991
-0.1093,1.2336,0.2177
-0.0963,1.2133,0.2326
-0.0827,1.1943,0.2433
-0.0731,1.174,0.2541
-0.0602,1.1542,0.266
-0.0516,1.1352,0.2714
-0.0404,1.1234,0.2829
-0.0343,1.1129,0.2888
-0.0321,1.0958,0.2944
-0.035,1.0829,0.3022
-0.0392,1.076,0.3091
-0.0472,1.0687,0.3147
-0.0587,1.0658,0.3193
-0.0665,1.0636,0.3178
-0.0721,1.0626,0.3152
-0.0736,1.0672,0.3064
-0.068,1.0684,0.2973
-0.058,1.0743,0.2848
-0.0418,1.0843,0.2682
-0.0235,1.0914,0.248
-0.0005,1.109,0.224
0.0178,1.1271,0.2001
0.0268,1.1503,0.1762
0.0373,1.1798,0.1527
0.0417,1.2058,0.13
0.0368,1.2399,0.1141
0.0297,1.2756,0.0968
0.0207,1.3027,0.0804
0.0087,1.333,0.0648
-0.0018,1.3641,0.0486
-0.0098,1.3917,0.033
-0.0221,1.4168,0.0132
-0.0331,1.4356,-0.0081
-0.0374,1.4515,-0.0322
-0.0374,1.4605,-0.063
-0.0382,1.4669,-0.0916
-0.0382,1.4632,-0.1192
-0.0384,1.4539,-0.1485
-0.0438,1.4412,-0.1715
-0.044,1.4229,-0.192
-0.0479,1.4022,-0.2118
-0.0531,1.3726,-0.2264
-0.0558,1.345,-0.2382
-0.0536,1.3169,-0.245
-0.0533,1.289,-0.2509
-0.047,1.2568,-0.2521
-0.0365,1.2236,-0.2528
-0.0235,1.195,-0.2477
-0.011,1.1706,-0.2418
-0.0035,1.1442,-0.2362
0.0051,1.1202,-0.2296
0.0107,1.0987,-0.2211
0.0156,1.0768,-0.2154
0.018,1.055,-0.2081
0.0195,1.0333,-0.203
0.0204,1.0164,-0.1959
0.0197,0.9969,-0.1881
0.0197,0.9781,-0.18
0.019,0.9585,-0.1764
0.0209,0.9446,-0.1715
0.0229,0.9246,-0.1671
0.0258,0.9048,-0.1624
0.0302,0.882,-0.1639
0.0336,0.8659,-0.1656
0.0341,0.8425,-0.1685
0.038,0.8244,-0.1713
0.0378,0.8032,-0.1783
0.038,0.7841,-0.18
0.0429,0.7648,-0.1879
0.0434,0.7501,-0.1908
0.0429,0.7333,-0.1922
0.0459,0.7203,-0.1886
0.0471,0.7052,-0.1874
0.0539,0.6939,-0.1903
0.0583,0.68,-0.1937
0.0664,0.6636,-0.1944
0.0779,0.6524,-0.1957
0.0871,0.6407,-0.194
0.0964,0.6309,-0.1935
0.1052,0.6243,-0.1908
0.1126,0.6185,-0.1822
0.1187,0.6094,-0.1761
0.1294,0.6023,-0.1671
0.1399,0.6011,-0.1566
0.1487,0.5987,-0.1453
0.1558,0.6006,-0.1317
0.1607,0.6011,-0.1173
0.1656,0.6004,-0.1053
0.1685,0.6043,-0.0916
0.1753,0.6084,-0.0723
0.1778,0.6114,-0.0542
0.1775,0.6175,-0.0408
0.1734,0.628,-0.0198
0.1702,0.6324,-0.0002
0.1641,0.6441,0.0181
0.1565,0.6522,0.0393
0.1475,0.6671,0.0579
0.1353,0.6786,0.0784
0.1162,0.6888,0.0958
0.0974,0.7047,0.1151
0.0803,0.724,0.1324
0.0617,0.737,0.1473
0.04,0.7487,0.159
0.0217,0.7626,0.1708
0.0048,0.7792,0.182
-0.0137,0.7895,0.1908
-0.0306,0.8032,0.1967
-0.0418,0.8183,0.2023
-0.0499,0.8344,0.2072
-0.0619,0.8437,0.2094
-0.0741,0.8593,0.2111
-0.0822,0.8737,0.2128
-0.0902,0.8911,0.2113
-0.0966,0.9067,0.2101
-0.1012,0.9229,0.2045
-0.1046,0.9348,0.2025
-0.1066,0.9487,0.1955
-0.1083,0.9622,0.1864
-0.1112,0.9759,0.1808
-0.1127,0.9927,0.1737
-0.108,1.0061,0.1639
-0.0995,1.0181,0.1546
-0.0902,1.0321,0.1415
-0.0836,1.0413,0.1297
-0.0709,1.0513,0.1205
-0.0567,1.0601,0.107
-0.0379,1.0636,0.097
-0.0199,1.0714,0.0853
0.0019,1.0723,0.0745
0.0183,1.0716,0.0601
0.0395,1.0714,0.0462
0.0595,1.0716,0.0296
0.0759,1.0697,0.0171
0.0923,1.0682,0.0032
0.1082,1.065,-0.0085
0.1182,1.0606,-0.023
0.1284,1.0589,-0.0364
0.1384,1.0521,-0.0498
0.146,1.0472,-0.0603
0.1536,1.036,-0.0743
0.1607,1.0264,-0.0852
0.169,1.0159,-0.0957
0.1714,1.0049,-0.1045
0.1736,0.9917,-0.1143
0.1712,0.9861,-0.1212
0.1678,0.9749,-0.1278
0.1661,0.9627,-0.1322
0.16,0.9482,-0.1344
0.1543,0.939,-0.1387
0.1489,0.9272,-0.1385
0.1397,0.9141,-0.1405
0.1372,0.9006,-0.1341
0.1284,0.8855,-0.13
0.1201,0.8711,-0.1217
0.1123,0.8569,-0.116
0.1018,0.8459,-0.1077
0.0954,0.8327,-0.0975
0.0903,0.8188,-0.0877
0.0779,0.8117,-0.0772
0.0715,0.8019,-0.0655
0.0642,0.788,-0.054
0.0573,0.7797,-0.0398
0.0517,0.7677,-0.0303
0.0512,0.757,-0.0161
0.0468,0.7499,-0.0017
0.0429,0.7435,0.0086
0.0432,0.7345,0.0205
0.0464,0.7259,0.033
0.0461,0.7167,0.0467
0.0478,0.7125,0.0567
0.0505,0.703,0.0711
0.0503,0.7018,0.0811
0.0547,0.6988,0.0887
0.0591,0.6964,0.0948
0.0637,0.6954,0.1016
0.0642,0.6959,0.107
0.0691,0.6976,0.1121
0.0688,0.6993,0.1156
0.074,0.6998,0.1148
0.0752,0.7049,0.1158
0.0781,0.7096,0.1131
0.0803,0.7154,0.1085
0.0827,0.7193,0.1072
0.0849,0.7284,0.1051
0.0871,0.734,0.0977
0.0901,0.7396,0.0946
0.0964,0.7516,0.088
0.0969,0.7587,0.0782
0.0976,0.7702,0.0714
0.1011,0.7809,0.0628
0.1035,0.7897,0.054
0.1062,0.8007,0.0457
0.1099,0.8112,0.0384
0.1118,0.8224,0.0288
0.1126,0.8337,0.0213
0.117,0.8476,0.0149
0.1192,0.8618,0.0078
0.1221,0.8735,0.0007
0.1221,0.8847,-0.0034
0.1243,0.8967,-0.0105
0.1299,0.9094,-0.0149
0.1292,0.9204,-0.0171
0.1314,0.9304,-0.02
0.1345,0.9421,-0.0198
0.1314,0.9548,-0.02
0.1338,0.9661,-0.021
0.1306,0.979,-0.0212
0.1314,0.9905,-0.0183
0.1267,1.0054,-0.0159
0.1214,1.0122,-0.0129
0.1184,1.0274,-0.0103
0.1155,1.0377,-0.0046
0.114,1.0496,0.001
0.113,1.064,0.0064
0.1113,1.0775,0.0147
0.1062,1.0865,0.0232
0.1087,1.0997,0.032
0.1023,1.1153,0.043
0.0989,1.1249,0.0481
0.0957,1.1344,0.0613
0.0949,1.1439,0.0736
0.0964,1.1527,0.086
0.0976,1.1603,0.0963
0.094,1.1686,0.1063
0.0954,1.1737,0.1197
0.0925,1.1837,0.1275
0.0942,1.1869,0.1398
0.0935,1.1889,0.1503
0.0979,1.1965,0.1595
0.0969,1.1977,0.1651
0.0962,1.1967,0.1762
0.0937,1.197,0.1813
0.0952,1.1972,0.1896
0.093,1.1987,0.192
0.0896,1.2014,0.1959
0.0881,1.2016,0.1981
0.0837,1.2021,0.2003
0.0862,1.1992,0.2055
0.0876,1.2023,0.2052
0.0928,1.204,0.204
0.094,1.1967,0.2038
0.0984,1.1928,0.2001
0.1023,1.1904,0.195
0.1033,1.1855,0.1891
0.104,1.183,0.1813
0.1099,1.1781,0.1713
0.1196,1.173,0.1644
0.1262,1.1671,0.1539
0.1326,1.1603,0.1383
0.1421,1.1537,0.1271
0.147,1.1491,0.1134
0.1543,1.1444,0.0994
0.1646,1.1381,0.088
0.1697,1.1312,0.0755
0.1788,1.1288,0.0606
0.1858,1.1222,0.0496
0.1924,1.1193,0.0364
0.199,1.1168,0.0249
0.1983,1.1161,0.0176
0.1922,1.1217,0.0154
0.1827,1.128,0.01
0.1739,1.1378,0.0071
0.1609,1.1513,0.001
0.1531,1.1625,-0.0129
0.1436,1.1774,-0.0278
0.1411,1.1916,-0.0393
0.1428,1.1967,-0.0491
0.1448,1.1996,-0.0562
0.1485,1.2031,-0.0584
0.1492,1.205,-0.0542
0.1477,1.2001,-0.0481
0.1358,1.1977,-0.0366
0.1209,1.2014,-0.0249
0.0981,1.2099,-0.0103
0.0683,1.2224,0.0005
0.0378,1.2407,0.0088
-0.0001,1.258,0.0147
-0.0306,1.2807,0.0135
-0.0523,1.3057,0.0098
-0.0599,1.3233,0.0022
-0.0611,1.3379,-0.0027
-0.0499,1.3457,-0.0056
-0.0218,1.3496,-0.0059
0.008,1.3501,-0.0059
0.0385,1.3472,-0.0042
0.0637,1.3421,0.002
0.0786,1.3374,0.0049
0.0952,1.3345,0.01
0.0976,1.3294,0.0125
0.0957,1.3201,0.0096
0.0879,1.3118,0.0052
0.0776,1.3032,-0.0024
0.0676,1.2951,-0.0137
0.0569,1.2837,-0.031
0.0461,1.2707,-0.0493
0.0346,1.2571,-0.0699
0.0217,1.2461,-0.0916
0.0063,1.2253,-0.1123
-0.0049,1.2079,-0.1319
-0.0142,1.1891,-0.1519
-0.0228,1.1659,-0.168
-0.0291,1.1479,-0.1822
-0.0291,1.1224,-0.1942
-0.0301,1.0965,-0.2013
-0.0284,1.0736,-0.2081
-0.0265,1.0511,-0.2135
-0.0223,1.0306,-0.2154
-0.0196,1.0091,-0.2125
-0.012,0.9915,-0.2115
-0.0076,0.9749,-0.2093
-0.0067,0.9588,-0.2062
-0.0062,0.9456,-0.202
-0.0035,0.9309,-0.2008
-0.0052,0.9163,-0.1979
-0.0084,0.906,-0.1986
-0.0108,0.9001,-0.1991
-0.0199,0.8906,-0.1966
-0.0228,0.882,-0.1996
-0.0257,0.8737,-0.201
-0.0318,0.8681,-0.2052
-0.0367,0.8591,-0.2101
-0.0448,0.8518,-0.2118
-0.0492,0.8554,-0.213
-0.0541,0.8474,-0.2152
-0.057,0.8408,-0.2172
-0.0609,0.8408,-0.2169
-0.0653,0.8381,-0.215
-0.0672,0.8339,-0.2128
-0.0716,0.8307,-0.2101
-0.0768,0.8293,-0.202
-0.0785,0.8283,-0.1957
-0.0834,0.8244,-0.1825
-0.0905,0.8268,-0.1739
-0.0971,0.8268,-0.1627
-0.1034,0.8322,-0.147
-0.1085,0.8361,-0.1302
-0.1139,0.8403,-0.1148
-0.1215,0.8425,-0.0962
-0.1264,0.8496,-0.0794
-0.1318,0.852,-0.063
-0.1386,0.8659,-0.0435
-0.1398,0.8737,-0.0261
-0.1396,0.8816,-0.0093
-0.144,0.8923,0.0113
-0.1396,0.8994,0.0266
-0.1391,0.9109,0.0401
-0.1384,0.9253,0.0537
-0.1308,0.9402,0.0675
-0.1266,0.95,0.0782
-0.1232,0.9637,0.0904
-0.1146,0.9764,0.0999
-0.109,0.9913,0.1065
-0.0985,1.0049,0.1114
-0.0914,1.0201,0.1141
-0.0846,1.0325,0.1166
-0.0743,1.047,0.1146
-0.065,1.0592,0.1124
-0.0555,1.0731,0.1072
-0.047,1.0821,0.1014
-0.0382,1.0936,0.0938
